product_slug;variant_name;sku;tone_code;tone_name;units;volume_ml;mass_g;sell_price;cost_price;physical_stock;available_on_demand
milagros-acondicionador-ultranutritivo;Único;BRV-MIL-P008;;;;;;39000;39000;0;FALSE
milagros-bio-repolarizador;Único;BRV-MIL-P009;;;;;;39000;39000;0;FALSE
milagros-terapia-nutricion-y-crecimiento;Único;BRV-MIL-P010;;;;;;39000;39000;0;FALSE
milagros-perfume-capilar;Irresistible (floral) 30 ml;BRV-MIL-P011;;Irresistible (floral);;30;;8000;8000;0;FALSE
milagros-perfume-capilar;Sublime (frutal) 30 ml;BRV-MIL-P012;;Sublime (frutal);;30;;8000;8000;0;FALSE
milagros-perfume-capilar;Majestuosa (cítrico) 30 ml;BRV-MIL-P013;;Majestuosa (cítrico);;30;;8000;8000;0;FALSE
milagros-perfume-capilar;Bali (dulce) 30 ml;BRV-MIL-P014;;Bali (dulce);;30;;8000;8000;0;FALSE
milagros-perfume-capilar;Irresistible (floral) 120 ml;BRV-MIL-P015;;Irresistible (floral);;120;;27000;27000;0;FALSE
milagros-perfume-capilar;Sublime (frutal) 120 ml;BRV-MIL-P016;;Sublime (frutal);;120;;27000;27000;0;FALSE
milagros-perfume-capilar;Majestuosa (cítrico) 120 ml;BRV-MIL-P017;;Majestuosa (cítrico);;120;;27000;27000;0;FALSE
milagros-perfume-capilar;Bali (dulce) 120 ml;BRV-MIL-P018;;Bali (dulce);;120;;27000;27000;0;FALSE
click-hair-shampoo-miel;300 ml;BRV-CLI-P001;;;;300;;40000;40000;0;FALSE
click-hair-acondicionador-miel-brillo;Único;BRV-CLI-P002;;;;;;36000;36000;0;FALSE
click-hair-shampoo-de-aji-cabello-graso;300 ml;BRV-CLI-P003;;;;300;;38000;38000;0;FALSE
click-hair-acondicionador-aji-4-en-1;300 ml;BRV-CLI-P004;;;;300;;38000;38000;0;FALSE
click-hair-set-de-mini-perfume-capilar;7 x 40 ml;BRV-CLI-P005;;;7;40;;40000;40000;0;FALSE
click-hair-perfume-capilar;Rosa / Seduction Flower 120 ml;BRV-CLI-P006;;Rosa / Seduction Flower;;120;;30000;30000;0;FALSE
click-hair-perfume-capilar;Azul / Candy Toy 120 ml;BRV-CLI-P007;;Azul / Candy Toy;;120;;30000;30000;0;FALSE
click-hair-perfume-capilar;Amarillo / Fruit Explosion 120 ml;BRV-CLI-P008;;Amarillo / Fruit Explosion;;120;;30000;30000;0;FALSE
click-hair-perfume-capilar;Verde / Fresh Amber 120 ml;BRV-CLI-P009;;Verde / Fresh Amber;;120;;30000;30000;0;FALSE
click-hair-perfume-capilar;Transparente / Vainilla Glow 120 ml;BRV-CLI-P010;;Transparente / Vainilla Glow;;120;;30000;30000;0;FALSE
click-hair-perfume-capilar;Naranjado / Dream on Paradise 120 ml;BRV-CLI-P011;;Naranjado / Dream on Paradise;;120;;30000;30000;0;FALSE
click-hair-perfume-capilar;Morado / Tropical Crush 120 ml;BRV-CLI-P012;;Morado / Tropical Crush;;120;;30000;30000;0;FALSE
click-hair-perfume-capilar-miel;Miel y Masmelo;BRV-CLI-P013;;Miel y Masmelo;;;;55000;55000;0;FALSE
click-hair-perfume-capilar-miel;Miel y Pistacho;BRV-CLI-P014;;Miel y Pistacho;;;;55000;55000;0;FALSE
click-hair-perfume-capilar-miel;Miel;BRV-CLI-P015;;Miel;;;;55000;55000;0;FALSE
click-hair-miel-capilar;20 ml;BRV-CLI-P016;;;;20;;25000;25000;0;FALSE
click-hair-miel-capilar;50 ml;BRV-CLI-P017;;;;50;;55000;55000;0;FALSE
click-hair-termoprotector-leche-y-miel;Único;BRV-CLI-P018;;;;;;42000;42000;0;FALSE
click-hair-mascarilla-miel-brillo-intenso;300 ml;BRV-CLI-P019;;;;300;;45000;45000;0;FALSE
click-hair-suero-reconstructor;Único;BRV-CLI-P020;;;;;;34000;34000;0;FALSE
antojitos-cepillo-curly-hair;Único;BRV-ANT-P001;;;;;;8000;8000;0;FALSE
antojitos-cepillo-tangle;Color surtido;BRV-ANT-P002;;Color surtido;;;;7000;7000;0;FALSE
antojitos-caiman-flor;Color surtido;BRV-ANT-P003;;Color surtido;;;;3000;3000;0;FALSE
antojitos-pinza-estrella-de-mar;Color surtido;BRV-ANT-P004;;Color surtido;;;;12000;12000;0;FALSE
antojitos-llavero-espejo;Único;BRV-ANT-P005;;;;;;7000;7000;0;FALSE
antojitos-diadema-skin-care;Único;BRV-ANT-P006;;;;;;15000;15000;0;FALSE
antojitos-balaca-skin-care;Diseño surtido;BRV-ANT-P007;;Diseño surtido;;;;10000;10000;0;FALSE
antojitos-papel-absorbente-antigrasa;Único;BRV-ANT-P008;;;;;;5000;5000;0;FALSE
antojitos-toallas-humedas-desmaquillantes;30 unidades;BRV-ANT-P009;;;30;;;5000;5000;0;FALSE
antojitos-agua-micelar-todo-en-1-by-garnier;Único;BRV-ANT-P010;;;;;;28000;28000;0;FALSE
antojitos-pomos-de-algodon;120 unidades;BRV-ANT-P011;;;120;;;9500;9500;0;FALSE
antojitos-parches-para-acne;Único;BRV-ANT-P012;;;;;;5000;5000;0;FALSE
antojitos-parches-anti-acne-estrellas;Único;BRV-ANT-P013;;;;;;6000;6000;0;FALSE
antojitos-parches-anti-acne-cute;Diseño surtido;BRV-ANT-P014;;Diseño surtido;;;;5000;5000;0;FALSE
antojitos-kit-de-brochas-x10-cola-de-sirena;10 unidades;BRV-ANT-P015;;;10;;;16000;16000;0;FALSE
antojitos-set-pomo-aifei-puff-x6;6 unidades;BRV-ANT-P016;;;6;;;4000;4000;0;FALSE
antojitos-set-de-blender-y-borlas;Único;BRV-ANT-P017;;;;;;8000;8000;0;FALSE
antojitos-set-4-blenders;Diseño surtido 4 unidades;BRV-ANT-P018;;Diseño surtido;4;;;8000;8000;0;FALSE
antojitos-set-de-8-borlas;8 unidades;BRV-ANT-P019;;;8;;;7000;7000;0;FALSE
antojitos-espejo-led;Cuadrado;BRV-ANT-P020;;Cuadrado;;;;25000;25000;0;FALSE
antojitos-espejo-led;Redondo;BRV-ANT-P021;;Redondo;;;;25000;25000;0;FALSE
antojitos-kit-cartuchera-purpure;Sunset Paradise;BRV-ANT-P022;;Sunset Paradise;;;;36000;36000;0;FALSE
antojitos-kit-cartuchera-purpure;Donut Crush;BRV-ANT-P023;;Donut Crush;;;;36000;36000;0;FALSE
antojitos-kit-cartuchera-purpure;Candy Bum;BRV-ANT-P024;;Candy Bum;;;;36000;36000;0;FALSE
antojitos-kit-cartuchera-purpure;Pink Champagne;BRV-ANT-P025;;Pink Champagne;;;;36000;36000;0;FALSE
antojitos-kit-cartuchera-purpure;Watermelon;BRV-ANT-P026;;Watermelon;;;;36000;36000;0;FALSE
antojitos-lip-serum-chocolate-kiss;Único;BRV-ANT-P027;;;;;;13000;13000;0;FALSE
antojitos-rizador-de-pestanas;Único;BRV-ANT-P028;;;;;;10000;10000;0;FALSE
antojitos-cosmetiqueras;Diseño surtido;BRV-ANT-P029;;Diseño surtido;;;;20000;20000;0;FALSE
antojitos-estuches-x3;Único;BRV-ANT-P030;;;;;;25000;25000;0;FALSE
